Time: 2024-05-12 06:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 271.2, 'Long wave outgoing solar radiation': 398.6, 'Global radiation': 554.2, 'Direct solar radiation': 690.1, 'Reflected radiation': 129.7, 'Sunshine duration': 60.0, 'Diffuse radiation': 171.6, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.7}
Time: 2024-05-12 07:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 273.5, 'Long wave outgoing solar radiation': 401.3, 'Global radiation': 588.5, 'Direct solar radiation': 760.2, 'Reflected radiation': 137.7, 'Sunshine duration': 60.0, 'Diffuse radiation': 153.4, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.0}
Time: 2024-05-12 07:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 293.7, 'Long wave outgoing solar radiation': 397.1, 'Global radiation': 366.5, 'Direct solar radiation': 118.6, 'Reflected radiation': 84.2, 'Sunshine duration': 25.0, 'Diffuse radiation': 317.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.7}
Time: 2024-05-12 07:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 327.4, 'Long wave outgoing solar radiation': 391.8, 'Global radiation': 322.9, 'Direct solar radiation': 4.3, 'Reflected radiation': 72.3, 'Sunshine duration': 0.0, 'Diffuse radiation': 332.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.5}
Time: 2024-05-12 07:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 330.9, 'Long wave outgoing solar radiation': 396.1, 'Global radiation': 339.6, 'Direct solar radiation': 8.5, 'Reflected radiation': 75.7, 'Sunshine duration': 0.0, 'Diffuse radiation': 348.7, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.6}
Time: 2024-05-12 08:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 330.3, 'Long wave outgoing solar radiation': 391.5, 'Global radiation': 338.9, 'Direct solar radiation': 7.2, 'Reflected radiation': 73.9, 'Sunshine duration': 0.0, 'Diffuse radiation': 350.0, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.8}
Time: 2024-05-12 08:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 334.0, 'Long wave outgoing solar radiation': 411.0, 'Global radiation': 455.5, 'Direct solar radiation': 12.6, 'Reflected radiation': 103.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 473.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.2}
Time: 2024-05-12 08:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 334.8, 'Long wave outgoing solar radiation': 398.4, 'Global radiation': 321.5, 'Direct solar radiation': 6.6, 'Reflected radiation': 71.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 341.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.8}
Time: 2024-05-12 08:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 336.6, 'Long wave outgoing solar radiation': 420.6, 'Global radiation': 484.1, 'Direct solar radiation': 60.0, 'Reflected radiation': 114.9, 'Sunshine duration': 5.0, 'Diffuse radiation': 445.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.3}
Time: 2024-05-12 09:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 339.3, 'Long wave outgoing solar radiation': 411.4, 'Global radiation': 376.9, 'Direct solar radiation': 12.1, 'Reflected radiation': 85.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 392.7, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.0}
Time: 2024-05-12 09:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 338.8, 'Long wave outgoing solar radiation': 392.5, 'Global radiation': 259.6, 'Direct solar radiation': 2.0, 'Reflected radiation': 56.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 272.8, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.6}
Time: 2024-05-12 09:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 339.7, 'Long wave outgoing solar radiation': 389.5, 'Global radiation': 212.4, 'Direct solar radiation': 5.6, 'Reflected radiation': 46.0, 'Sunshine duration': 0.0, 'Diffuse radiation': 221.8, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.4}
Time: 2024-05-12 09:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 340.4, 'Long wave outgoing solar radiation': 397.8, 'Global radiation': 299.7, 'Direct solar radiation': 8.1, 'Reflected radiation': 63.7, 'Sunshine duration': 0.0, 'Diffuse radiation': 307.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.9}
Time: 2024-05-12 10:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 340.8, 'Long wave outgoing solar radiation': 405.9, 'Global radiation': 375.6, 'Direct solar radiation': 12.4, 'Reflected radiation': 80.3, 'Sunshine duration': 0.0, 'Diffuse radiation': 382.8, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.3}
